"x"; "rain"
"1";23.56
"2";26.07
"3";21.86
"4";31.24
"5";23.65
"6";23.88
"7";26.41
"8";22.67
"9";31.69
"10";23.86
"11";24.11
"12";32.43
"13";23.26
"14";22.57
"15";23
"16";27.88
"17";25.32
"18";25.08
"19";27.76
"20";19.82
"21";24.78
"22";20.12
"23";24.34
"24";27.42
"25";19.44
"26";21.63
"27";27.49
"28";19.43
"29";31.13
"30";23.09
"31";25.85
"32";22.65
"33";22.75
"34";26.36
"35";17.7
"36";29.81
"37";22.93
"38";19.22
"39";20.63
"40";35.34
"41";25.89
"42";18.65
"43";23.06
"44";22.21
"45";22.18
"46";18.77
"47";28.21
"48";32.24
"49";22.27
"50";27.57
"51";21.59
"52";16.93
"53";29.48
"54";31.6
"55";26.25
"56";23.4
"57";25.42
"58";21.32
"59";25.02
"60";33.86
"61";22.67
"62";18.82
"63";28.44
"64";26.16
"65";28.17
"66";34.08
"67";33.82
"68";30.28
"69";27.92
"70";27.14
"71";24.4
"72";20.35
"73";26.64
"74";27.01
"75";19.21
"76";27.74
"77";23.85
"78";21.23
"79";28.15
"80";22.61
"81";19.8
"82";27.94
"83";21.47
"84";23.52
"85";22.86
"86";17.69
"87";22.54
"88";23.28
"89";22.17
"90";20.84
"91";38.1
"92";10.65
"93";12.97
"94";14.26
"95";13.01
"96";13.67
"97";16.75
"98";15.36
"99";14.79
"100";17.88
